"","participant","Acc","Trial","TrialIndex","RT","MDT.ability","MPT.ability","Monolingual","gmsi","pairType","musician"
"268","22",0,23,10,4375.785,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"269","22",0,0,18,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"270","22",0,1,20,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"271","22",0,2,6,2405.63,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"272","22",1,3,1,1936.695,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"vowelMP","1"
"273","22",0,4,4,4685.715,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"consMP","1"
"274","22",0,5,5,1485.815,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"275","22",0,6,2,3326.96,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"276","22",0,7,23,4977.81,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"277","22",1,8,22,2956.185,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"vowelMP","1"
"278","22",1,13,14,4892.83,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"consMP","1"
"279","22",0,14,19,3305.79,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"280","22",0,11,16,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"281","22",0,12,7,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"consMP","1"
"282","22",0,17,13,2293.165,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"283","22",1,18,8,3075.43,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"vowelMP","1"
"284","22",0,15,15,3774.94,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"285","22",1,16,0,2284.585,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"286","22",1,21,17,2641.29,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"vowelMP","1"
"287","22",0,19,21,4472.955,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"consMP","1"
